timeLeftInSec,down,yardsToFirstdown,yardsToEndzone,isEmpty,isI_Form,isJumbo,isPistol,isShotgun,isSingleback,isWildcat,defendersInTheBox,numberOfPassRushers,numberRB,numberTE,numberWR,defendersInTheBox,numberOfPassRushers,numberDL,numberLB,numberDB,isTraditional,isRollout,isScramble,yardsGained,negative,incompete,positive
3600,1,15,80,0,1,0,0,0,0,0,7,4,2,1,2,7,4,4,2,5,1,0,0,10,0,0,1
3490,1,10,39,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
3485,2,10,39,0,0,0,0,1,0,0,6,4,2,1,2,6,4,4,2,5,1,0,0,0,0,1,0
3481,3,10,39,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,1,6,0,0,1,33,0,0,1
3359,3,1,1,0,0,0,0,1,0,0,8,6,2,3,0,8,6,6,3,2,1,0,0,0,0,1,0
3310,2,8,96,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,1,0,0,4,0,0,1
3264,3,4,92,1,0,0,0,0,0,0,6,4,1,2,2,6,4,3,3,5,1,0,0,0,0,1,0
3248,1,10,44,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,0,0,1,0,0,1,0
3121,2,13,36,0,0,0,0,0,1,0,8,4,1,2,2,8,4,4,2,5,1,0,0,26,0,0,1
3079,1,10,10,0,0,0,0,0,1,0,8,3,1,2,2,8,3,4,2,5,0,1,0,3,0,0,1
3038,2,7,7,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
3007,3,3,3,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,2,5,1,0,0,0,0,1,0
2926,2,4,63,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,3,5,1,0,0,6,0,0,1
2886,1,10,57,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,-7,1,0,0
2781,3,12,59,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,3,5,1,0,0,-6,1,0,0
2730,1,10,80,0,1,0,0,0,0,0,8,4,2,1,2,8,4,4,3,4,1,0,0,0,0,1,0
2700,3,12,82,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,1,6,1,0,0,-7,1,0,0
2652,1,10,60,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,0,0,1,1,0,0,1
2573,3,7,57,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,10,0,0,1
2534,1,10,47,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,6,0,0,1
2503,2,4,41,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,0,1,0,10,0,0,1
2347,2,10,20,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,1,0,0,3,0,0,1
2263,1,19,19,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,0,0,1,0
2213,3,18,18,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,10,0,0,1
2134,2,8,73,0,0,0,0,0,1,0,7,4,1,3,1,7,4,4,3,4,1,0,0,22,0,0,1
1983,2,8,25,0,0,0,1,0,0,0,7,4,2,0,3,7,4,4,2,5,1,0,0,0,0,1,0
1978,3,8,25,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,1,6,1,0,0,-9,1,0,0
1921,1,10,95,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0,0,1,0
1904,1,10,71,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,7,0,0,1
1899,2,3,64,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
