timeLeftInSec,down,yardsToFirstdown,yardsToEndzone,isEmpty,isI_Form,isJumbo,isPistol,isShotgun,isSingleback,isWildcat,defendersInTheBox,numberOfPassRushers,numberRB,numberTE,numberWR,defendersInTheBox,numberOfPassRushers,numberDL,numberLB,numberDB,isTraditional,isRollout,isScramble,yardsGained
3600,1,15,80,0,1,0,0,0,0,0,7,4,2,1,2,7,4,4,2,5,1,0,0,10
3490,1,10,39,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0
3485,2,10,39,0,0,0,0,1,0,0,6,4,2,1,2,6,4,4,2,5,1,0,0,0
3481,3,10,39,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,1,6,0,0,1,33
3359,3,1,1,0,0,0,0,1,0,0,8,6,2,3,0,8,6,6,3,2,1,0,0,0
3310,2,8,96,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,1,0,0,4
3264,3,4,92,1,0,0,0,0,0,0,6,4,1,2,2,6,4,3,3,5,1,0,0,0
3248,1,10,44,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,0,0,1,0
3121,2,13,36,0,0,0,0,0,1,0,8,4,1,2,2,8,4,4,2,5,1,0,0,26
3079,1,10,10,0,0,0,0,0,1,0,8,3,1,2,2,8,3,4,2,5,0,1,0,3
3038,2,7,7,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0
3007,3,3,3,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,2,5,1,0,0,0
2926,2,4,63,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,3,5,1,0,0,6
2886,1,10,57,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,-7
2781,3,12,59,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,3,5,1,0,0,-6
2730,1,10,80,0,1,0,0,0,0,0,8,4,2,1,2,8,4,4,3,4,1,0,0,0
2700,3,12,82,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,1,6,1,0,0,-7
2652,1,10,60,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,0,0,1,1
2573,3,7,57,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,10
2534,1,10,47,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,6
2503,2,4,41,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,0,1,0,10
2347,2,10,20,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,1,0,0,3
2263,1,19,19,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,0
2213,3,18,18,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,10
2134,2,8,73,0,0,0,0,0,1,0,7,4,1,3,1,7,4,4,3,4,1,0,0,22
1983,2,8,25,0,0,0,1,0,0,0,7,4,2,0,3,7,4,4,2,5,1,0,0,0
1978,3,8,25,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,1,6,1,0,0,-9
1921,1,10,95,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
1904,1,10,71,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,7
1899,2,3,64,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
1895,3,3,64,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0
1880,1,10,89,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,13
1875,1,10,76,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
1870,2,10,76,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,1,6,1,0,0,7
1848,3,3,69,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,1,6,1,0,0,0
1829,1,5,82,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0
1822,2,5,82,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,0
1817,3,5,82,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,4
1800,1,10,75,0,0,0,0,1,0,0,7,3,1,2,2,7,3,3,3,5,1,0,0,8
1677,2,9,58,0,0,0,0,0,1,0,8,4,1,2,2,8,4,4,3,4,1,0,0,0
1671,3,9,58,1,0,0,0,0,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,0
1614,2,2,72,0,0,0,0,0,1,0,8,5,1,3,1,8,5,4,3,4,1,0,0,4
1575,1,10,68,0,0,0,0,0,1,0,6,3,1,1,3,6,3,4,2,5,1,0,0,0
1557,3,22,80,0,0,0,0,1,0,0,2,4,1,1,3,2,4,4,1,6,1,0,0,6
1511,1,10,63,0,0,0,0,1,0,0,7,5,1,2,2,7,5,4,3,4,1,0,0,4
1472,2,6,59,0,0,0,0,1,0,0,7,4,1,2,2,7,4,4,3,4,1,0,0,5
1389,1,10,46,1,0,0,0,0,0,0,5,4,1,2,2,5,4,4,2,5,1,0,0,0
1361,3,5,41,0,0,0,0,1,0,0,7,4,1,2,2,7,4,3,3,5,0,1,0,15
1306,1,10,26,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0
1260,3,8,24,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,18
1113,2,25,75,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,15
1068,3,10,60,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,1,6,1,0,0,0
1009,2,6,80,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
1001,3,6,80,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,0,0,1,0
947,2,6,70,0,0,0,0,0,1,0,7,5,1,2,2,7,5,4,2,5,1,0,0,0
940,3,6,70,0,0,0,0,1,0,0,6,4,2,1,2,6,4,4,1,6,1,0,0,0
920,1,10,32,0,0,0,0,1,0,0,7,6,1,1,3,7,6,4,3,4,1,0,0,0
917,2,10,32,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,5
783,3,3,15,0,0,0,0,1,0,0,7,7,1,1,3,7,7,4,1,6,1,0,0,0
645,1,10,71,0,0,0,0,1,0,0,7,4,1,2,2,7,4,4,2,5,1,0,0,0
635,1,10,27,0,1,0,0,0,0,0,7,4,1,2,2,7,4,4,2,5,1,0,0,18
479,3,14,79,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
435,1,20,77,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,-5
391,2,25,82,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,1,6,1,0,0,-3
345,3,28,85,0,0,0,0,1,0,0,3,4,1,1,3,3,4,4,1,6,1,0,0,14
291,1,10,54,0,0,0,0,1,0,0,7,3,1,1,3,7,3,3,3,5,1,0,0,2
288,2,8,52,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
281,3,8,52,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,3,5,1,0,0,9
